Ticker;Rentabilidad Anual;Riesgo;MSFT;NVDA
2020-01-03 00:00:00;-0,00972213;-0,012139035;-0,012451684;-0,016006046
2020-01-06 00:00:00;0,007968135;0,014885574;0,002584974;0,004193436
2020-01-07 00:00:00;-0,004703081;0,00209162;-0,009118127;0,012106852
2020-01-08 00:00:00;0,016086399;-0,00780864;0,015928746;0,001875565
2020-01-09 00:00:00;0,021240897;0,004799175;0,012492803;0,010982527
2020-01-10 00:00:00;0,002260514;-0,009410597;-0,004627358;0,005349459
2020-01-13 00:00:00;0,021364691;0,004322578;0,01202473;0,031352322
2020-01-14 00:00:00;-0,013503692;-0,011558212;-0,007043537;-0,018652253
2020-01-15 00:00:00;-0,004285545;-0,003969127;0,006476207;-0,006915336
2020-01-16 00:00:00;0,012526637;0,008549911;0,018323776;0,013682619
2020-01-17 00:00:00;0,011070984;-0,007039661;0,005596787;0,001405903
2020-01-21 00:00:00;-0,006776473;0,014629525;-0,003590799;-0,005375452
2020-01-22 00:00:00;0,003569215;-0,002399549;-0,004804663;0,008752084
2020-01-23 00:00:00;0,004815816;-0,001525911;0,006155476;0,010995142
2020-01-24 00:00:00;-0,002882032;-0,012172427;-0,010076982;-0,009412405
2020-01-27 00:00:00;-0,02940522;-0,017887464;-0,016722817;-0,041041188
2020-01-28 00:00:00;0,0282894;0,013624366;0,019595571;0,032348107
2020-01-29 00:00:00;0,020932249;0,002563098;0,015592769;-0,009799607
2020-01-30 00:00:00;-0,00144908;0,006824489;0,02820759;0,001099534
2020-01-31 00:00:00;-0,044338837;0,073791356;-0,014758487;-0,038159507
2020-02-03 00:00:00;-0,002745829;-0,002250169;0,024378807;0,016495288
2020-02-04 00:00:00;0,033013369;0,022687342;0,032916695;0,028294497
2020-02-05 00:00:00;0,008153863;-0,004781237;-0,001221511;0,014688476
2020-02-06 00:00:00;0,011697162;0,005078733;0,02073374;0,01391785
2020-02-07 00:00:00;-0,013592375;0,014169136;0,00141573;-0,010462227
2020-02-10 00:00:00;0,004749487;0,02627358;0,026157096;0,045232534
2020-02-11 00:00:00;-0,006033276;0,007915026;-0,022575503;0,018709308
2020-02-12 00:00:00;0,023747691;0,00427747;0,001463775;0,017357898
2020-02-13 00:00:00;-0,007121115;-0,004689817;-0,005413951;-0,006457882
2020-02-14 00:00:00;0,000246515;-0,006977166;0,008927123;0,070204774
2020-02-18 00:00:00;-0,018310761;0,009742991;0,010143084;0,023396229
2020-02-19 00:00:00;0,014482806;0,00674965;0,002999369;0,061132414
2020-02-20 00:00:00;-0,010259149;-0,007888627;-0,015271419;-0,019065839
2020-02-21 00:00:00;-0,022635035;-0,026533823;-0,031612529;-0,047392534
2020-02-24 00:00:00;-0,047500083;-0,04135555;-0,043115534;-0,070697283
2020-02-25 00:00:00;-0,033872416;-0,018190499;-0,016501721;-0,041093425
2020-02-26 00:00:00;0,01586382;0,003472315;0,01249451;0,021370055
2020-02-27 00:00:00;-0,065368303;-0,048136265;-0,070458931;-0,055665773
2020-02-28 00:00:00;-0,000585013;-0,000291847;0,024212923;0,069160733
2020-03-02 00:00:00;0,093101086;0,037266114;0,066538922;0,023549529
2020-03-03 00:00:00;-0,031759583;-0,023009811;-0,047919497;-0,038128835
2020-03-04 00:00:00;0,04638469;0,035013229;0,036715497;0,070028683
2020-03-05 00:00:00;-0,032436973;-0,026216794;-0,025095433;-0,039436042
2020-03-06 00:00:00;-0,013280245;-0,011922924;-0,028267265;-0,026528782
2020-03-09 00:00:00;-0,07909195;-0,052853832;-0,067772584;-0,077432024
2020-03-10 00:00:00;0,072021206;0,050655067;0,068384241;0,063722537
2020-03-11 00:00:00;-0,034730319;-0,037508896;-0,045302095;-0,055959983
2020-03-12 00:00:00;-0,098754657;-0,079220825;-0,094838237;-0,122367909
2020-03-13 00:00:00;0,119808508;0,064648337;0,142169252;0,113402099
2020-03-16 00:00:00;-0,128647097;-0,053697517;-0,147390544;-0,184520908
2020-03-17 00:00:00;0,043970145;0,070266132;0,082336465;0,10626287
2020-03-18 00:00:00;-0,024480038;0,012257741;-0,042095881;-0,066507079
2020-03-19 00:00:00;-0,007662002;0,027830614;0,01645278;0,050044467
2020-03-20 00:00:00;-0,063485593;-0,018522799;-0,037558534;-0,033901613
2020-03-23 00:00:00;-0,021244133;0,030735292;-0,009974705;0,033730178
2020-03-24 00:00:00;0,100325241;0,019586561;0,090895832;0,171564245
2020-03-25 00:00:00;-0,005508675;-0,027967605;-0,00957246;-0,014286894
2020-03-26 00:00:00;0,052622965;0,036933125;0,062550999;0,047309142
2020-03-27 00:00:00;-0,041402352;-0,028325389;-0,041060907;-0,017532381
2020-03-30 00:00:00;0,028538043;0,033603547;0,07034066;0,050884254
2020-03-31 00:00:00;-0,002040743;-0,007245623;-0,015727321;-0,00749262
2020-04-01 00:00:00;-0,052616812;-0,021551791;-0,035508229;-0,077883402
2020-04-02 00:00:00;0,016686427;0,005834205;0,020708655;0,051014271
2020-04-03 00:00:00;-0,01437124;-0,006378882;-0,009210408;-0,045249941
2020-04-06 00:00:00;0,087237208;0,047729225;0,074367911;0,100405834
2020-04-07 00:00:00;-0,011582173;0,007013456;-0,010770255;-0,034910495
2020-04-08 00:00:00;0,025594655;0,015609462;0,010031253;0,030575432
2020-04-09 00:00:00;0,007215768;-0,000117484;6,03453E-05;-0,014983927
2020-04-13 00:00:00;0,01962785;0,061735066;0,002240635;0,026240813
2020-04-14 00:00:00;0,050503194;0,05276945;0,049483238;0,052251321
2020-04-15 00:00:00;-0,009127215;0,010668696;-0,010477676;-0,010952714
2020-04-16 00:00:00;0,007945693;0,043554542;0,030020978;0,049351861
2020-04-17 00:00:00;-0,013568616;-0,013782136;0,008811575;-0,008075931
2020-04-20 00:00:00;-0,020756485;0,007835758;-0,019820862;-0,018028273
2020-04-21 00:00:00;-0,030910442;-0,027360331;-0,04135723;-0,061104296
2020-04-22 00:00:00;0,02880342;0,015192527;0,033964995;0,061741536
2020-04-23 00:00:00;-0,003875622;0,015214823;-0,012102543;-0,007478566
2020-04-24 00:00:00;0,028869876;0,004488511;0,018259529;0,019647323
2020-04-27 00:00:00;0,000706761;-0,014197862;-0,002864576;0,025864082
2020-04-28 00:00:00;-0,016209645;-0,026060611;-0,024360944;-0,019254106
2020-04-29 00:00:00;0,03284545;0,025336165;0,044873662;0,024368633
2020-04-30 00:00:00;0,021095799;0,042689574;0,010032308;-0,020706383
2020-05-01 00:00:00;-0,016099277;-0,075974092;-0,025891409;-0,032503055
2020-05-04 00:00:00;0,014149188;0,013101236;0,024459901;0,030094027
2020-05-05 00:00:00;0,015008816;0,000781522;0,010736161;0,008410935
2020-05-06 00:00:00;0,010317181;0,014436139;0,009846954;0,013787549
2020-05-07 00:00:00;0,010344914;0,006953695;0,005807243;0,023775198
2020-05-08 00:00:00;0,023801569;0,005068389;0,00588235;0,025027161
2020-05-11 00:00:00;0,015735516;0,012350744;0,011154324;0,032384349
2020-05-12 00:00:00;-0,011428326;-0,021606421;-0,022651693;-0,032608372
2020-05-13 00:00:00;-0,012074204;0,004654321;-0,015122707;-0,002883775
2020-05-14 00:00:00;0,006143568;0,008838926;0,00433923;0,032198076
2020-05-15 00:00:00;-0,005912179;0,008761548;0,014568598;0,057313006
2020-05-18 00:00:00;0,023561148;0,006838841;0,00955436;0,030562463
2020-05-19 00:00:00;-0,005778417;0,009508427;-0,006922223;0,006314152
2020-05-20 00:00:00;0,019448191;0,019846275;0,013870815;0,018681276
2020-05-21 00:00:00;-0,00745534;-0,02049693;-0,012011362;-0,021711087
2020-05-22 00:00:00;0,006438191;-0,004029821;0,00043593;0,02860266
2020-05-26 00:00:00;-0,006773487;-0,006163614;-0,010571406;-0,034177859
2020-05-27 00:00:00;0,004356813;-0,004736042;0,00132163;-0,022081109
2020-05-28 00:00:00;0,000440123;-0,003854152;-0,002254878;-0,004486515
2020-05-29 00:00:00;-0,000973945;0,017187951;0,010198159;0,045775791
2020-06-01 00:00:00;0,012298102;0,011738616;-0,002291737;-0,007802668
2020-06-02 00:00:00;0,00462938;0,000554396;0,011376653;0,00215787
2020-06-03 00:00:00;0,005505054;0,002422733;0,0024336;-0,00631723
2020-06-04 00:00:00;-0,008612272;-0,007182048;-0,013163542;0,000114088
2020-06-05 00:00:00;0,028480927;0,009103493;0,023398224;0,017509841
2020-06-08 00:00:00;0,005912642;0,016536459;0,006196651;-0,012892472
2020-06-09 00:00:00;0,031577699;0,030427139;0,00764495;0,027370841
2020-06-10 00:00:00;0,02572759;0,017913293;0,037091464;0,035457862
2020-06-11 00:00:00;-0,048010387;-0,0338023;-0,053698228;-0,060906999
2020-06-12 00:00:00;0,008633618;-0,005058743;0,00789172;0,015489178
2020-06-15 00:00:00;0,012367208;0,010868309;0,006391831;0,027008339
2020-06-16 00:00:00;0,026502188;0,016554731;0,02450506;-0,011473081
2020-06-17 00:00:00;-0,001391534;0,009830663;0,00346117;0,018470599
2020-06-18 00:00:00;0,000398122;0,004922485;0,010708535;-0,001948768
2020-06-19 00:00:00;-0,005714874;0,007923936;-0,005959812;0,004692072
2020-06-22 00:00:00;0,026163696;0,014508287;0,027773662;0,028667707
2020-06-23 00:00:00;0,021345046;0,018641698;0,006680826;-0,008056314
2020-06-24 00:00:00;-0,017652034;-0,010855868;-0,020157293;-0,022698273
2020-06-25 00:00:00;0,013275605;0,007380066;0,012636241;0,02755643
2020-06-26 00:00:00;-0,030725842;-0,022402763;-0,020015969;-0,035300245
2020-06-29 00:00:00;0,023046583;-0,004638148;0,010747282;0,004915443
2020-06-30 00:00:00;0,008347597;0,029264486;0,025549357;0,032364016
2020-07-01 00:00:00;-0,001891486;0,043453386;0,005847305;0,003395554
2020-07-02 00:00:00;0;0,004029609;0,007621003;0,008630666
2020-07-06 00:00:00;0,026750168;0,057689552;0,021526271;0,023615566
2020-07-07 00:00:00;-0,003102748;-0,018619372;-0,011627961;0,003303184
2020-07-08 00:00:00;0,023290099;0,026995584;0,021993085;0,034872374
2020-07-09 00:00:00;0,004300195;0,032949191;0,007000634;0,028680356
2020-07-10 00:00:00;0,001749383;0,005457749;-0,00303281;-0,002830954
2020-07-13 00:00:00;-0,004613006;-0,030000019;-0,030888662;-0,04074712
2020-07-14 00:00:00;0,016548485;-0,006443299;0,006181392;0,032306399
2020-07-15 00:00:00;0,006877138;-0,024361221;-0,001488083;-0,014431285
2020-07-16 00:00:00;-0,012305151;-0,002981196;-0,019803874;-0,00904432
2020-07-17 00:00:00;-0,002020175;-0,012643753;-0,005099709;0,00658607
2020-07-20 00:00:00;0,021074077;0,0792952;0,042980885;0,030314262
2020-07-21 00:00:00;-0,013801611;-0,0183149;-0,013468816;-0,017339257
2020-07-22 00:00:00;0,002809172;-0,01222963;0,014371055;0,010674296
2020-07-23 00:00:00;-0,04551628;-0,036568799;-0,043494534;-0,029601261
2020-07-24 00:00:00;-0,002477438;0,007486874;-0,006122365;0,006392158
2020-07-27 00:00:00;0,023700256;0,015387649;0,012667707;0,022266876
2020-07-28 00:00:00;-0,016427631;-0,017962781;-0,008977227;-0,019766531
2020-07-29 00:00:00;0,019168619;0,011065474;0,010098111;0,024472199
2020-07-30 00:00:00;0,012099942;0,00604903;-0,000784111;0,014189465
2020-07-31 00:00:00;0,104688546;0,036960822;0,005443955;7,05967E-05
2020-08-03 00:00:00;0,025197928;-0,016680966;0,056241117;0,037259691
2020-08-04 00:00:00;0,006678049;0,008657119;-0,015008884;0,019754298
2020-08-05 00:00:00;0,003624692;0,021090646;-0,00164088;0,005254796
2020-08-06 00:00:00;0,034889046;0,00623086;0,016014039;0,004319252
2020-08-07 00:00:00;-0,022735456;-0,017841854;-0,017887956;-0,01199752
2020-08-10 00:00:00;0,014534656;-0,006093187;-0,019907591;-0,003080662
2020-08-11 00:00:00;-0,029739878;-0,021437993;-0,023385214;-0,028213115
2020-08-12 00:00:00;0,033234303;0,02647805;0,02856722;0,054400818
2020-08-13 00:00:00;0,017697565;-0,000385832;-0,002342686;0,00024041
2020-08-14 00:00:00;-0,000891194;-0,004112558;0,00095829;0,010574246
2020-08-17 00:00:00;-0,00261087;0,010924312;0,006606238;0,066845285
2020-08-18 00:00:00;0,008332908;0,04087467;0,005754097;-0,006180517
2020-08-19 00:00:00;0,001254543;-0,015701146;-0,006066933;-0,009971072
2020-08-20 00:00:00;0,022189665;0,011314271;0,023271301;0,000206004
2020-08-21 00:00:00;0,051532494;-0,003836435;-0,007269964;0,044683513
2020-08-24 00:00:00;0,011960192;0,006923018;0,003145153;0,002897225
2020-08-25 00:00:00;-0,008203703;0,01180055;0,01300957;0,002339055
2020-08-26 00:00:00;0,013598912;0,028495561;0,021619692;0,001803995
2020-08-27 00:00:00;-0,0119541;-0,012159152;0,024553493;-0,011332826
2020-08-28 00:00:00;-0,001619926;0,00052939;0,010283546;0,041138052
2020-08-31 00:00:00;0,033912048;0,014451219;-0,01476595;0,01724629
2020-09-01 00:00:00;0,039832551;0,013955476;0,007715354;0,03369364
2020-09-02 00:00:00;-0,020718314;0,009239471;0,019272056;0,038022028
2020-09-03 00:00:00;-0,080061016;-0,046284109;-0,061946813;-0,092775392
2020-09-04 00:00:00;0,000662014;-0,021787359;-0,014036009;-0,030194683
2020-09-08 00:00:00;-0,067295023;-0,04394436;-0,05409538;-0,056209211
2020-09-09 00:00:00;0,039886703;0,037706624;0,042583592;0,067321362
2020-09-10 00:00:00;-0,032645928;-0,028605451;-0,028018561;-0,031714499
2020-09-11 00:00:00;-0,013128826;-0,018547317;-0,006524697;-0,011960196
2020-09-14 00:00:00;0,02999984;-0,004251985;0,006763701;0,058181685
2020-09-15 00:00:00;0,001560432;0,017132004;0,016406138;0,009225285
2020-09-16 00:00:00;-0,029513379;-0,024723344;-0,017865612;-0,036679151
2020-09-17 00:00:00;-0,015963812;-0,022536668;-0,010436624;-0,004075519
2020-09-18 00:00:00;-0,031720326;-0,017887909;-0,012419132;-0,022004
2020-09-21 00:00:00;0,030325882;0,001881613;0,010728953;0,026908829
2020-09-22 00:00:00;0,015715776;0,05692336;0,024093886;0,009626712
2020-09-23 00:00:00;-0,041945906;-0,041268892;-0,032928157;-0,040671886
2020-09-24 00:00:00;0,010268634;0,006643682;0,012961802;0,018496926
2020-09-25 00:00:00;0,037516265;0,024948743;0,022786552;0,042577762
2020-09-28 00:00:00;0,023868792;0,025498116;0,007795112;0,012525353
2020-09-29 00:00:00;-0,007567942;-0,009190127;-0,010408723;0,014633806
2020-09-30 00:00:00;0,015075917;0,001224146;0,014812445;0,023042238
2020-10-01 00:00:00;0,008462092;0,023034752;0,010126964;0,006208076
2020-10-02 00:00:00;-0,03227995;-0,029882738;-0,029511428;-0,040563481
2020-10-05 00:00:00;0,030790894;0,023744043;0,020320868;0,044422056
2020-10-06 00:00:00;-0,028669492;-0,031020289;-0,021247324;0,006890205
2020-10-07 00:00:00;0,016967205;0,030881037;0,019037516;0,016561649
2020-10-08 00:00:00;-0,000955857;-0,00160844;0,003574354;-0,008969351
2020-10-09 00:00:00;0,017395788;0,030120249;0,024836222;-0,005491996
2020-10-12 00:00:00;0,063520533;0,047549907;0,025902232;0,033659674
2020-10-13 00:00:00;-0,026527326;0,000203336;0,006594654;0,001564222
2020-10-14 00:00:00;0,00074304;-0,023208081;-0,008974226;-0,010738339
2020-10-15 00:00:00;-0,003960498;-0,007450143;-0,005433556;-0,008885968
2020-10-16 00:00:00;-0,014000463;-0,019750481;0;-0,011345721
2020-10-19 00:00:00;-0,025542079;-0,020013957;-0,024765468;-0,022716544
2020-10-20 00:00:00;0,013191816;0,003055554;0,002007349;0,010946223
2020-10-21 00:00:00;-0,005446393;-0,009968887;0,000698788;-0,008849046
2020-10-22 00:00:00;-0,009583249;-0,002681286;0,000419159;-0,012107223
2020-10-23 00:00:00;-0,006133853;0,008814972;0,006235864;0,017157917
2020-10-26 00:00:00;8,71749E-05;0,000823891;-0,028442149;-0,033038374
2020-10-27 00:00:00;0,013472032;0,024723687;0,015089373;0,019442559
2020-10-28 00:00:00;-0,046312154;-0,03759507;-0,0495663;-0,057457995
2020-10-29 00:00:00;0,037050513;0,015249236;0,010065451;0,031440626
2020-10-30 00:00:00;-0,056017965;-0,054456455;-0,010990637;-0,037622827
2020-11-02 00:00:00;-0,000826947;-0,010430948;-0,000691706;0,003729979
2020-11-03 00:00:00;0,015353589;0,014621517;0,02026411;0,034874839
2020-11-04 00:00:00;0,040836861;0,063229663;0,048248912;0,05950666
2020-11-05 00:00:00;0,035493519;0,024941734;0,031886818;0,026514495
2020-11-06 00:00:00;-0,001136123;-0,003199936;0,001925595;0,028389931
2020-11-09 00:00:00;-0,019968112;-0,050622554;-0,023824603;-0,063950516
2020-11-10 00:00:00;-0,003008637;-0,034582946;-0,033792554;-0,063147849
2020-11-11 00:00:00;0,030352662;0,033729593;0,026254805;0,050744009
2020-11-12 00:00:00;-0,002343449;-0,008640935;-0,005126002;0,002887896
2020-11-13 00:00:00;0,000419508;0,005957652;0,004966426;-0,011871231
2020-11-16 00:00:00;0,008720445;0,000719045;0,003325606;0,016413389
2020-11-17 00:00:00;-0,007564375;0,001469221;-0,012751339;-0,00688132
2020-11-18 00:00:00;-0,011391383;-0,009631208;-0,013183895;0,000484466
2020-11-19 00:00:00;0,005168178;0,003722495;0,006348342;0,000856257
2020-11-20 00:00:00;-0,010957423;-0,005652814;-0,009556437;-0,026226858
2020-11-23 00:00:00;-0,029742728;-0,000325912;-0,001330895;0,003991963
2020-11-24 00:00:00;0,011594234;0,006348492;0,017847795;-0,013869684
2020-11-25 00:00:00;0,007467228;0,021490891;4,69048E-05;0,021377032
2020-11-27 00:00:00;0,004826392;0,003224444;0,006358807;0,002002329
2020-11-30 00:00:00;0,021099707;-0,008543726;-0,005389473;0,010575917
2020-12-01 00:00:00;0,030827278;0,016426593;0,009996806;-0,00085807
2020-12-02 00:00:00;0,002933439;-0,00513962;-0,003885281;0,011538445
2020-12-03 00:00:00;-0,001137484;-0,005244192;-0,005246761;-0,010671607
2020-12-04 00:00:00;-0,005612401;-0,007578328;0,000560144;0,012111811
2020-12-07 00:00:00;0,012269964;-0,001448209;-0,000326673;0,003576976
2020-12-08 00:00:00;0,005090711;0,006108348;0,008026684;-0,018869146
2020-12-09 00:00:00;-0,020903565;-0,02300385;-0,019490017;-0,031404568
2020-12-10 00:00:00;0,011988809;-0,000873096;-0,006043199;0,003209439
2020-12-11 00:00:00;-0,00673481;0,004813852;0,013015287;0,003160612
2020-12-14 00:00:00;-0,005146631;0,013011702;0,004407745;0,022707583
2020-12-15 00:00:00;0,050090394;0,002581597;-0,000326768;0,003888584
